Word,Count,Percentage of total,Cumulative percentage of total
νότος,462,0.05,68.4
ἄμφοδον,462,0.05,68.45
ἀπογράφω,462,0.05,68.49
ἐπεί,458,0.05,68.54
κάμηλος,454,0.05,68.58
καθήκω,453,0.05,68.63
τεσσαράκοντα,452,0.05,68.68
τραπεζίτης,450,0.04,68.72
Κόμμοδος,449,0.04,68.77
Ζήνων,448,0.04,68.81
Νότος,447,0.04,68.85
Ἰούλιος,439,0.04,68.9
ἐξάγω,438,0.04,68.94
Νήσος,437,0.04,68.99
δύναμαι,433,0.04,69.03
κελεύω,432,0.04,69.07
Ἀγορή,432,0.04,69.12
ὄγδοος,431,0.04,69.16
πρᾶγμα,430,0.04,69.2
Δημήτριος,429,0.04,69.25
τίθημι,429,0.04,69.29
TWO_THIRDS,429,0.04,69.33
Παμωνθης,429,0.04,69.37
τριάκοντα,426,0.04,69.42
εὑρίσκω,426,0.04,69.46
δεύτερος,424,0.04,69.5
φίλος,419,0.04,69.54
καθώς,418,0.04,69.58
ἀριστερός,418,0.04,69.63
δηλόω,418,0.04,69.67
Καρανίς,416,0.04,69.71
Τίτος,416,0.04,69.75
ἐπέρχομαι,416,0.04,69.79
ἔρχομαι,415,0.04,69.83
ἐπιγονή,415,0.04,69.88
δίκη,411,0.04,69.92
σπόριμος,410,0.04,69.96
πρῶτος,409,0.04,70.0
βαλανευτικός,409,0.04,70.04
λίτρα,408,0.04,70.08
Βίκτωρ,408,0.04,70.12
δωδέκατος,405,0.04,70.16
τελευτάω,404,0.04,70.2
μαρτυρέω,402,0.04,70.24
ἀμφότερος,398,0.04,70.28
οἶκος,396,0.04,70.32
μέσος,395,0.04,70.36
ὥστε,394,0.04,70.4
ἀδελφή,392,0.04,70.44
ὅσος,392,0.04,70.48
ἴσος,391,0.04,70.52
πύλη,390,0.04,70.56
Αἴλιος,388,0.04,70.6
ἄχυρος,388,0.04,70.64
κομίζω,386,0.04,70.67
τυγχάνω,384,0.04,70.71
Ἑρμίας,384,0.04,70.75
πρᾶξις,382,0.04,70.79
ἡγεμών,380,0.04,70.83
κεφάλαιος,379,0.04,70.86
παραλαμβάνω,376,0.04,70.9
ἀνά,374,0.04,70.94
Ἡρακλῆς,374,0.04,70.98
θεῖος,370,0.04,71.01
Δομιτιανός,369,0.04,71.05
βοηθός,368,0.04,71.09
Χαιρήμων,366,0.04,71.12
ἔλαιον,366,0.04,71.16
Πανίσκος,366,0.04,71.2
Οὐαλέριος,365,0.04,71.23
Ζεύς,364,0.04,71.27
Πέρσης,363,0.04,71.31
θυγάτηρ,362,0.04,71.34
Ὡρίων,360,0.04,71.38
γείτων,357,0.04,71.41
μ#,356,0.04,71.45
δάνειον,355,0.04,71.49
Ἀρσινόη,355,0.04,71.52
ἀκόλουθος,353,0.04,71.56
συγγραφή,353,0.04,71.59
αἱρέω,352,0.04,71.63
πεντώβολος,352,0.04,71.66
διακόσιοι,351,0.04,71.7
ἐπιτηρητής,351,0.04,71.73
Ὀννωφρις,349,0.03,71.77
χίλιοι,348,0.03,71.8
Καρηνίς,347,0.03,71.84
ἰδιωτικός,346,0.03,71.87
ἀλλήλων,346,0.03,71.91
χωρίς,344,0.03,71.94
Ἀλεξάνδρεια,344,0.03,71.98
Φοιβάμμων,344,0.03,72.01
τρόπος,343,0.03,72.04
χρεία,343,0.03,72.08
Σερῆνος,339,0.03,72.11
δεῖνα,338,0.03,72.15
ἀντί,336,0.03,72.18
οὕτως,334,0.03,72.21
ἀγαθός,331,0.03,72.25
τῷ,331,0.03,72.28
πεντήκοντα,330,0.03,72.31
Θεόδωρος,329,0.03,72.34
Οὐῆρος,328,0.03,72.38
δεξιός,328,0.03,72.41
κεράμιον,327,0.03,72.44
ὑπογράφω,327,0.03,72.48
Φλάυιος,327,0.03,72.51
ὄμνυμι,326,0.03,72.54
ἔτι,325,0.03,72.57
Πολέμων,322,0.03,72.61
χρηματίζω,322,0.03,72.64
Μηνᾶς,320,0.03,72.67
δανείζω,320,0.03,72.7
λβ´#,317,0.03,72.73
γιγνώσκω,313,0.03,72.77
Σεπτίμιος,311,0.03,72.8
βεβαιόω,310,0.03,72.83
ἀκούω,310,0.03,72.86
Διοσκόρος,310,0.03,72.89
ἀναγράφω,309,0.03,72.92
καρπός,309,0.03,72.95
κοινός,308,0.03,72.98
ὅσπερ,307,0.03,73.01
τελώνης,305,0.03,73.04
συγχωρέω,304,0.03,73.07
Βερνικίς,304,0.03,73.1
αὐλή,303,0.03,73.13
φαίνω,303,0.03,73.16
στοιχέω,303,0.03,73.19
ἅγιος,302,0.03,73.22
Κάστωρ,301,0.03,73.26
λβ#,301,0.03,73.29
γόμος,301,0.03,73.32
πλήρης,299,0.03,73.35
ἀποχή,299,0.03,73.38
ἐγκαλέω,298,0.03,73.4
Φλάουιος,297,0.03,73.43
πέμπτος,293,0.03,73.46
δεσμοφυλακία,293,0.03,73.49
διέρχομαι,291,0.03,73.52
καθάπερ,290,0.03,73.55
ἐπιστέλλω,285,0.03,73.58
ἅπας,285,0.03,73.61
δέχομαι,285,0.03,73.64
ὅλος,283,0.03,73.67
δέκατος,283,0.03,73.69
στρατιώτης,282,0.03,73.72
Ἀσκληπιάδης,282,0.03,73.75
τέκνον,280,0.03,73.78
προσμετρέω,279,0.03,73.81
συμφωνέω,278,0.03,73.83
ποταμοφυλακία,278,0.03,73.86
μαγδωλοφυλακία,275,0.03,73.89
ἀγοράζω,274,0.03,73.92
παραχρῆμα,273,0.03,73.94
ρ#,271,0.03,73.97
ὅρκος,271,0.03,74.0
εἰκοστός,269,0.03,74.02
ἔνατος,268,0.03,74.05
οὐδέ,267,0.03,74.08
συντάσσω,267,0.03,74.1
λα,266,0.03,74.13
κτῆνος,265,0.03,74.16
διό,264,0.03,74.18
Ἀπόλλων,264,0.03,74.21
πλοῖον,264,0.03,74.24
Ἐπείφ,263,0.03,74.26
ἐπιμελητής,262,0.03,74.29
πιπράσκω,261,0.03,74.32
εὐτυχέω,261,0.03,74.34
ἐπειδή,261,0.03,74.37
Οὐεσπασιανός,259,0.03,74.39
κάτοικος,259,0.03,74.42
κνίδιον,259,0.03,74.45
ἀσφάλεια,258,0.03,74.47
ὑγιαίνω,258,0.03,74.5
Νέρων,257,0.03,74.52
ἀρίθμησις,257,0.03,74.55
Ἀπίων,257,0.03,74.57
Γαῖος,256,0.03,74.6
λε#,256,0.03,74.63
μικρός,256,0.03,74.65
ἐπιβάλλω,255,0.03,74.68
πρᾶσις,255,0.03,74.7
καιρός,255,0.03,74.73
ἀπογραφή,254,0.03,74.75
τῇ,252,0.03,74.78
Πικως,252,0.03,74.8
THREE_QUARTERS,251,0.03,74.83
ἑξήκοντα,251,0.03,74.85
