Word,Count,Percentage of total,Cumulative percentage of total
μέτριος,69,0.05,77.59
ἄτεχνος,69,0.05,77.64
ὀγδοηκοντάρουρος,69,0.05,77.68
θεοσεβής,69,0.05,77.73
λιβικός,69,0.05,77.78
ἰδιόκτητος,68,0.05,77.83
βραχύς,68,0.05,77.88
Ἀρσινοείτης,68,0.05,77.93
Αἰγυπτία,68,0.05,77.97
ἀδιάθετος,68,0.05,78.02
πρόσγραφος,68,0.05,78.07
Βακχιάς,67,0.05,78.12
ἄπρατος,67,0.05,78.16
ὑπόλοιπος,67,0.05,78.21
ἀκίνητος,67,0.05,78.26
φορικός,66,0.05,78.31
ἔννομος,66,0.05,78.35
ναυτικός,66,0.05,78.4
κάτεργος,66,0.05,78.44
ἀνεπιδάνειστος,65,0.05,78.49
κοινωνικός,65,0.05,78.54
δωδεκάδραχμος,65,0.05,78.58
μηχανικός,65,0.05,78.63
μάχιμος,65,0.05,78.67
γείτων,64,0.05,78.72
ὑπόχρεος,64,0.05,78.76
Θεαδελφύς,64,0.05,78.81
ἀπηλιωτικός,64,0.05,78.85
κινητός,64,0.05,78.9
γυναικεῖος,63,0.04,78.94
δεκατρεῖς,63,0.04,78.99
ἄβωλος,63,0.04,79.03
αὐθεντικός,63,0.04,79.08
διπλός,63,0.04,79.12
κανονικός,63,0.04,79.17
ταυρικός,62,0.04,79.21
προσοδικός,62,0.04,79.25
ἀνενεχύραστος,61,0.04,79.3
αἴθριος,61,0.04,79.34
μετέωρος,61,0.04,79.38
ἀξιόλογος,61,0.04,79.43
ἔκτακτος,61,0.04,79.47
ξύλινος,60,0.04,79.51
βουλευτός,59,0.04,79.55
Συριακός,59,0.04,79.6
πληρωτικός,59,0.04,79.64
πονηρός,59,0.04,79.68
κακοῦργος,58,0.04,79.72
ἄνυδρος,58,0.04,79.76
τετρώβολος,58,0.04,79.8
οἰκογενής,57,0.04,79.84
ἀντίγραφος,57,0.04,79.88
δεκαεπτά,57,0.04,79.92
Βρεταννικός,57,0.04,79.96
ἄτεκνος,57,0.04,80.0
ἄποχος,57,0.04,80.04
ξυλικός,57,0.04,80.08
ἰταλικός,57,0.04,80.12
θεμέλιος,56,0.04,80.16
λόγιος,56,0.04,80.2
σησάμινος,56,0.04,80.24
λιτός,55,0.04,80.28
ἐλλόγιμος,55,0.04,80.32
ἀπαρενόχλητος,55,0.04,80.36
ἔνιοι,55,0.04,80.4
τρόφιμος,55,0.04,80.44
πενθήμερος,54,0.04,80.47
Βακχίας,53,0.04,80.51
πεζός,53,0.04,80.55
περισσός,53,0.04,80.59
ὑποτελής,52,0.04,80.62
μυλαῖος,52,0.04,80.66
δῆλος,52,0.04,80.7
λῃστρικός,52,0.04,80.73
ἱππικόν,52,0.04,80.77
ταμιακός,52,0.04,80.81
συναγοραστικός,52,0.04,80.84
χρηστός,52,0.04,80.88
ἀγοραστός,51,0.04,80.92
ἐγκύκλιος,51,0.04,80.95
κωμητικός,51,0.04,80.99
ἔγγραπτος,51,0.04,81.02
ἀναφαίρετος,51,0.04,81.06
δεκατέσσαρες,51,0.04,81.1
περίβολος,50,0.04,81.13
ἀδελφικός,50,0.04,81.17
τρισκαιδέκατος,50,0.04,81.2
μυρίος,50,0.04,81.24
κληρουχικός,50,0.04,81.27
γαμικός,50,0.04,81.31
οὐράνιος,50,0.04,81.34
ζωοποιός,50,0.04,81.38
ἀσφράγιστος,49,0.03,81.41
Βερνικίς,49,0.03,81.45
Ἰταλικός,49,0.03,81.48
θησαυρικός,49,0.03,81.52
κενός,48,0.03,81.55
μισθοφόρος,48,0.03,81.58
αὐτοκίνητος,48,0.03,81.62
οὐετρανός,48,0.03,81.65
αελιυς,47,0.03,81.69
Γαλλιηνός,47,0.03,81.72
λόγιμος,47,0.03,81.75
ἱππικός,47,0.03,81.79
μακρός,46,0.03,81.82
ἐξενίαυτος,46,0.03,81.85
ἐμφανής,46,0.03,81.88
ἐπίσκοπος,46,0.03,81.92
δεκαοκτώ,46,0.03,81.95
βορινός,45,0.03,81.98
σοφός,45,0.03,82.01
μισθωτικός,45,0.03,82.04
κολλυβιστικός,44,0.03,82.07
Αὔγουστος,44,0.03,82.11
ἔκγονος,44,0.03,82.14
ἀρσενικός,44,0.03,82.17
ἀσάλευτος,44,0.03,82.2
μεστός,44,0.03,82.23
λεπτός,44,0.03,82.26
παντελής,44,0.03,82.29
προδοματικός,44,0.03,82.32
ἀναφάλαντος,43,0.03,82.35
τηλικοῦτος,43,0.03,82.38
βοικός,42,0.03,82.41
ἔμπορος,42,0.03,82.44
ἐλάινος,42,0.03,82.47
ἰσόνομος,42,0.03,82.5
πρόσφορος,42,0.03,82.53
Θεαδελφεῖος,41,0.03,82.56
σιτοφόρος,41,0.03,82.59
ῥαφάνινος,41,0.03,82.62
ἀρρενικός,41,0.03,82.65
μνημόνειος,41,0.03,82.68
ὀρθός,40,0.03,82.7
ἄβολος,40,0.03,82.73
νεώτερος,40,0.03,82.76
Γερμανικός,40,0.03,82.79
συνγραφός,40,0.03,82.82
μίσθιος,40,0.03,82.85
ἀρεστός,40,0.03,82.87
διετής,40,0.03,82.9
εὔλογος,40,0.03,82.93
νεόφυτος,40,0.03,82.96
ἀμπελουργικός,40,0.03,82.99
βάρβαρος,39,0.03,83.01
λίθινος,39,0.03,83.04
βραδύς,39,0.03,83.07
βίαιος,39,0.03,83.1
ἐλεήμων,39,0.03,83.12
ἄλογος,38,0.03,83.15
Σωσικόσμιος,38,0.03,83.18
ἀγώγιμος,38,0.03,83.2
Ἀδελφός,38,0.03,83.23
ἀθάνατος,38,0.03,83.26
αὐτάρκης,38,0.03,83.29
ἀσθενής,38,0.03,83.31
οἰνικός,38,0.03,83.34
ἐπιμελής,38,0.03,83.37
γαληνός,38,0.03,83.39
ἐπιχώριος,38,0.03,83.42
κατάγειος,38,0.03,83.45
ἔθιμος,37,0.03,83.47
μονόστεγος,37,0.03,83.5
καλλίνικος,37,0.03,83.52
ἐνάρετος,37,0.03,83.55
δίμηνος,37,0.03,83.58
ἀργός,36,0.03,83.6
ἄδικος,36,0.03,83.63
ἀκριβής,36,0.03,83.65
ἡδύς,36,0.03,83.68
ἄχραντος,36,0.03,83.7
μετάβολος,36,0.03,83.73
παραλημπτικός,36,0.03,83.75
ἐλεεινός,36,0.03,83.78
ἀνίσχυρος,36,0.03,83.81
τρισσός,36,0.03,83.83
ἀφανής,35,0.02,83.86
λίνεος,35,0.02,83.88
ἐνκύκλιος,35,0.02,83.91
κόσμιος,35,0.02,83.93
βαρύς,35,0.02,83.95
ἀμετανόητος,35,0.02,83.98
ἔγγαιος,35,0.02,84.0
ὀφθαλμοφανής,35,0.02,84.03
ἀμέριμνος,35,0.02,84.05
ἐπιστατικός,35,0.02,84.08
πυρρός,34,0.02,84.1
ἔγγονος,34,0.02,84.13
μναιαῖος,34,0.02,84.15
χειρόγραφος,34,0.02,84.17
ἀζήμιος,34,0.02,84.2
Δεκέμβριος,34,0.02,84.22
ἀττικός,34,0.02,84.25
ἀπόκοιτος,33,0.02,84.27
ἀφήμερος,33,0.02,84.29
νεκρός,33,0.02,84.32
τρεισκαιδεκαετής,33,0.02,84.34
Σεπτέμβριος,33,0.02,84.36
παράνομος,33,0.02,84.39
διώρυγος,33,0.02,84.41
