Word,Count,Percentage of total,Cumulative percentage of total
πρόδηλος,20,0.07,71.19
ἐλαχύς,20,0.07,71.26
ποσός,19,0.06,71.32
ἐπιμελής,19,0.06,71.38
ἐναργής,19,0.06,71.45
ἀξιόχρεως,19,0.06,71.51
ἐγχώριος,19,0.06,71.58
ἀνάστατος,19,0.06,71.64
εὔζωνος,19,0.06,71.7
ἄχρηστος,19,0.06,71.77
συνεργός,19,0.06,71.83
ἄφθονος,18,0.06,71.89
ἀναίτιος,18,0.06,71.95
ἐμφανής,18,0.06,72.01
ἄσμενος,18,0.06,72.08
παράλιος,18,0.06,72.14
ὁμώνυμος,18,0.06,72.2
εὐπρεπής,18,0.06,72.26
συμμαχικός,18,0.06,72.32
περιχαρής,18,0.06,72.38
ἀλλόφυλος,18,0.06,72.44
σφοδρός,18,0.06,72.5
πιστός,18,0.06,72.56
αὐτόφωρος,18,0.06,72.62
σύμφορος,18,0.06,72.68
ὑπόσπονδος,17,0.06,72.74
περίοικος,17,0.06,72.8
μέλας,17,0.06,72.85
ἄποικος,17,0.06,72.91
ἄπρακτος,17,0.06,72.97
μετέωρος,17,0.06,73.03
ἀτελής,17,0.06,73.08
πυκνός,17,0.06,73.14
γυναικεῖος,17,0.06,73.2
νεκρός,17,0.06,73.26
δορύφορος,17,0.06,73.31
ἀκόλαστος,17,0.06,73.37
σῶς,16,0.05,73.42
ἄτιμος,16,0.05,73.48
ὑπήκοος,16,0.05,73.53
ἐχυρός,16,0.05,73.59
δορυφόρος,16,0.05,73.64
ὠμός,16,0.05,73.69
εὐσεβής,16,0.05,73.75
ἀνάξιος,16,0.05,73.8
ὑγιής,16,0.05,73.86
πιθανός,16,0.05,73.91
ἄλκιμος,16,0.05,73.96
περιβόητος,16,0.05,74.02
σωματικός,16,0.05,74.07
μιαρός,16,0.05,74.13
ἄκυρος,16,0.05,74.18
ἐπίπεδος,16,0.05,74.23
ὑπηρετικός,15,0.05,74.28
μακάριος,15,0.05,74.34
ὑπήκους,15,0.05,74.39
εὐγενής,15,0.05,74.44
μεσόγαιος,15,0.05,74.49
ποιητέος,15,0.05,74.54
ὁμόφυλος,15,0.05,74.59
ἁπλόος,15,0.05,74.64
ἀργός2,15,0.05,74.69
πρακτικός,15,0.05,74.74
ὁμότιμος,15,0.05,74.79
ἀντίος,14,0.05,74.84
θάσσων,14,0.05,74.89
θερμός,14,0.05,74.93
μάχιμος,14,0.05,74.98
ἐμφύλιος,14,0.05,75.03
σπάνιος,14,0.05,75.07
γεραιός,14,0.05,75.12
οὐδαμός,14,0.05,75.17
συνετός,14,0.05,75.22
χρόνιος,14,0.05,75.26
ἀνδροφόνος,14,0.05,75.31
βραδύς,14,0.05,75.36
ἄκαιρος,14,0.05,75.4
ὀρφανός,14,0.05,75.45
νεώτερος,14,0.05,75.5
αὐτάρκης,14,0.05,75.55
θεῖος,14,0.05,75.59
ἄκρος,14,0.05,75.64
δειλός,14,0.05,75.69
ἐλευθέριος,14,0.05,75.74
εὔλογος,14,0.05,75.78
γέλοιος,14,0.05,75.83
παχύς,14,0.05,75.88
παιδικός,14,0.05,75.92
παράλληλος,14,0.05,75.97
ἀστυγείτων,13,0.04,76.02
