Word,Count,Percentage of total,Cumulative percentage of total
ἄφαντος,9,0.03,75.2
δῆλος,9,0.03,75.22
μητρῷος,9,0.03,75.25
κύριος,9,0.03,75.28
ἡμός,9,0.03,75.3
μήτις,9,0.03,75.33
ἴλαος,9,0.03,75.35
φόνιος,9,0.03,75.38
ναυτικός,9,0.03,75.4
κοῦφος,9,0.03,75.43
θούριος,9,0.03,75.45
ἀμφήκης,9,0.03,75.48
εὔφημος,9,0.03,75.5
αἰανής,9,0.03,75.53
πανώλεθρος,9,0.03,75.55
πάννυχος,9,0.03,75.58
εὐρώεις,9,0.03,75.6
προστρόπαιος,9,0.03,75.63
ἀκόρεστος,9,0.03,75.66
δίδυμος,9,0.03,75.68
φίλιος,9,0.03,75.71
ὄρθιος,9,0.03,75.73
κερτόμιος,9,0.03,75.76
χερείων,9,0.03,75.78
σκηπτοῦχος,9,0.03,75.81
ἀντίβιος,9,0.03,75.83
ὠκύμορος,9,0.03,75.86
αἰθαλόεις,9,0.03,75.88
νῶροψ,9,0.03,75.91
ἀλίαστος,9,0.03,75.93
ἀγρότερος,9,0.03,75.96
ἀθέσφατος,9,0.03,75.98
πολυβότειρα,9,0.03,76.01
ὀψίγονος,9,0.03,76.03
νεμεσητός,9,0.03,76.06
ὑψόροφος,9,0.03,76.09
φιλομμειδής,9,0.03,76.11
πάμπρωτος,9,0.03,76.14
ὑπερηνορέων,9,0.03,76.16
παναίολος,9,0.03,76.19
καλλίθριξ,9,0.03,76.21
ἄατος,9,0.03,76.24
τηλεκλειτός,9,0.03,76.26
χαλκοκορυστής,9,0.03,76.29
ὠκύπους,9,0.03,76.31
ἄσχετος,9,0.03,76.34
ἀγακλυτός,9,0.03,76.36
ἀριπρεπής,9,0.03,76.39
κήλεος,9,0.03,76.41
μενεχάρμης,9,0.03,76.44
εὐρυμέτωπος,9,0.03,76.47
λιαρός,9,0.03,76.49
ἀνδρόμεος,9,0.03,76.52
ἀναίτιος,9,0.03,76.54
λαοσσόος,9,0.03,76.57
ἄιστος,9,0.03,76.59
εὐσταθής,9,0.03,76.62
δοιώ,9,0.03,76.64
θυώδης,9,0.03,76.67
πολισσοῦχος,9,0.03,76.69
ἄφερτος,9,0.03,76.72
γνωτός,8,0.02,76.74
μαλερός,8,0.02,76.76
κωφός,8,0.02,76.79
ἀνεκτός,8,0.02,76.81
θανάσιμος,8,0.02,76.83
ἄθεος,8,0.02,76.85
φέριστος,8,0.02,76.88
ἄσκοπος,8,0.02,76.9
ταύρειος,8,0.02,76.92
ἀνάρσιος,8,0.02,76.94
ἄπυρος,8,0.02,76.97
ἄδικος,8,0.02,76.99
ἄπλατος,8,0.02,77.01
ὕστατος,8,0.02,77.03
σμικρός,8,0.02,77.06
φροῦδος,8,0.02,77.08
τερπνός,8,0.02,77.1
σύναιμος,8,0.02,77.12
ἀναγκαῖος,8,0.02,77.15
ἀμενηνός,8,0.02,77.17
κατηρεφής,8,0.02,77.19
